texto,label,score
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,LABEL_0,0.5511120557785034
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,LABEL_0,0.5511120557785034
Tentativa de golpe: Supremo aceita denúncia da PGR --&gt;  https://t.co/lFr0HCBA2c  | #Notícias #Economia #Política #Agro #Brasil #Macaé #Esporte #Rural #RiodasOstras #Buzios #news #Campos #CaboFrio #Niterói #RJ #Rio #RioDeJaneiro #errejota #SãoPaulo #saopaulo #SP #CapitalLiberal... https://t.co/Dp6u84AqU6,LABEL_0,0.5340405702590942
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,LABEL_0,0.5511120557785034
"Escolas cívico-militares despertam divergências no plenário da CLDF https://t.co/hdKUfCWdt8

#opiniaobrasilia #tenentepoliglota #poliglota #tenpoliglota #distritofederal #brasil #gdf #df #noticias #politica #economia #esportes #cidades #saúde #educação #ultimasnoticias #cldf #g…",LABEL_1,0.5118438005447388
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,LABEL_0,0.5511120557785034
"RT @VoxLiberdade: 🚨 BOLSONARO: ""EM DOIS ANOS, NÃO ENCONTRARAM LÍDER""

Após se tornar réu por suposta tentativa de golpe, Bolsonaro afirmou:…",LABEL_0,0.524208664894104
"🤔 Governadores aliados a Jair Bolsonaro divergem após ex-presidente se tornar réu; entenda #jairbolsonaro #política #bnews

https://t.co/cF1p6yF59b",LABEL_0,0.5161808133125305
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,LABEL_0,0.5511120557785034
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,LABEL_0,0.5511120557785034
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,LABEL_0,0.5511120557785034
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,LABEL_0,0.5511120557785034
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,LABEL_0,0.5511120557785034
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,LABEL_0,0.5511120557785034
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,LABEL_0,0.5511120557785034
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,LABEL_0,0.5511120557785034
Brasil e Japão avançam em acordos e parceria --&gt;  https://t.co/uHzP3x1FKN  | #Notícias #Economia #Política #Agro #Brasil #Macaé #Esporte #Rural #RiodasOstras #Buzios #news #Campos #CaboFrio #Niterói #RJ #Rio #RioDeJaneiro #errejota #SãoPaulo #saopaulo #SP #CapitalLiberal #BR #... https://t.co/1luGRtpTob,LABEL_0,0.5022903084754944
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,LABEL_0,0.5511120557785034
"RT @VoxLiberdade: 🚨 BOLSONARO: ""EM DOIS ANOS, NÃO ENCONTRARAM LÍDER""

Após se tornar réu por suposta tentativa de golpe, Bolsonaro afirmou:…",LABEL_0,0.524208664894104
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,LABEL_0,0.5511120557785034
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,LABEL_0,0.5511120557785034
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,LABEL_0,0.5511120557785034
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,LABEL_0,0.5511120557785034
"RT @meiahora: STF remarca julgamento de denúncia contra núcleo golpista para 20 e 21 de maio. #STF #Julgamento #Política #MeiaHora
https://…",LABEL_0,0.57176673412323
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,LABEL_0,0.5511120557785034
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,LABEL_0,0.5511120557785034
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,LABEL_0,0.5511120557785034
"RT @MrHP: O Estado teve um saldo + de 0,7%. A carga fiscal subiu. No tempo do #PS, isto significava + impostos e - investimento. Com a #AD…",LABEL_0,0.5445908904075623
"Daqui a pouco vai ter que segurar outra coisa 🍆... e dos presidiários ainda por cima, seu vagabundo #Bolsonaro #vagabundo #Politica https://t.co/mWrJuiTqJa",LABEL_0,0.5253128409385681
"Sem definição para 2026, Fraga se anima com ideia de concorrer ao Buriti novamente https://t.co/6gVROqFC3Q

#opiniaobrasilia #tenentepoliglota #poliglota #tenpoliglota #distritofederal #brasil #gdf #df #noticias #politica #economia #esportes #cidades #saúde #educação #ultimasno…",LABEL_1,0.5062941312789917
"STF remarca julgamento de denúncia contra núcleo golpista para 20 e 21 de maio. #STF #Julgamento #Política #MeiaHora
https://t.co/AWpVJ9Ul6Z",LABEL_0,0.5510678887367249
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,LABEL_0,0.5511120557785034
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,LABEL_0,0.5511120557785034
"RT @MrHP: O Estado teve um saldo + de 0,7%. A carga fiscal subiu. No tempo do #PS, isto significava + impostos e - investimento. Com a #AD…",LABEL_0,0.5445908904075623
"RT @VoxLiberdade: 🚨 BOLSONARO: ""EM DOIS ANOS, NÃO ENCONTRARAM LÍDER""

Após se tornar réu por suposta tentativa de golpe, Bolsonaro afirmou:…",LABEL_0,0.524208664894104
"RT @VoxLiberdade: 🚨 BOLSONARO: ""EM DOIS ANOS, NÃO ENCONTRARAM LÍDER""

Após se tornar réu por suposta tentativa de golpe, Bolsonaro afirmou:…",LABEL_0,0.524208664894104
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,LABEL_0,0.5511120557785034
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,LABEL_0,0.5511120557785034
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,LABEL_0,0.5511120557785034
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,LABEL_0,0.5511120557785034
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,LABEL_0,0.5511120557785034
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,LABEL_0,0.5511120557785034
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,LABEL_0,0.5511120557785034
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,LABEL_0,0.5511120557785034
"RT @VoxLiberdade: 🚨 BOLSONARO: ""EM DOIS ANOS, NÃO ENCONTRARAM LÍDER""

Após se tornar réu por suposta tentativa de golpe, Bolsonaro afirmou:…",LABEL_0,0.524208664894104
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,LABEL_0,0.5511120557785034
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,LABEL_0,0.5511120557785034
"RT @MrHP: O Estado teve um saldo + de 0,7%. A carga fiscal subiu. No tempo do #PS, isto significava + impostos e - investimento. Com a #AD…",LABEL_0,0.5445908904075623
"RT @psd_parlamento: 🙏🏼🌹 Felizmente há no PS quem saiba olhar para a política com Nobreza e Decência. 

#portugal #política #parlamento #psd…",LABEL_0,0.5366231203079224
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,LABEL_0,0.5511120557785034
