texto,neg,neu,pos,compound
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,0.099,0.901,0.0,-0.296
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,0.099,0.901,0.0,-0.296
Tentativa de golpe: Supremo aceita denúncia da PGR --&gt;  https://t.co/lFr0HCBA2c  | #Notícias #Economia #Política #Agro #Brasil #Macaé #Esporte #Rural #RiodasOstras #Buzios #news #Campos #CaboFrio #Niterói #RJ #Rio #RioDeJaneiro #errejota #SãoPaulo #saopaulo #SP #CapitalLiberal... https://t.co/Dp6u84AqU6,0.0,0.917,0.083,0.4404
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,0.099,0.901,0.0,-0.296
"Escolas cívico-militares despertam divergências no plenário da CLDF https://t.co/hdKUfCWdt8

#opiniaobrasilia #tenentepoliglota #poliglota #tenpoliglota #distritofederal #brasil #gdf #df #noticias #politica #economia #esportes #cidades #saúde #educação #ultimasnoticias #cldf #g…",0.078,0.922,0.0,-0.296
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,0.099,0.901,0.0,-0.296
"RT @VoxLiberdade: 🚨 BOLSONARO: ""EM DOIS ANOS, NÃO ENCONTRARAM LÍDER""

Após se tornar réu por suposta tentativa de golpe, Bolsonaro afirmou:…",0.0,1.0,0.0,0.0
"🤔 Governadores aliados a Jair Bolsonaro divergem após ex-presidente se tornar réu; entenda #jairbolsonaro #política #bnews

https://t.co/cF1p6yF59b",0.0,1.0,0.0,0.0
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,0.099,0.901,0.0,-0.296
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,0.099,0.901,0.0,-0.296
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,0.099,0.901,0.0,-0.296
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,0.099,0.901,0.0,-0.296
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,0.099,0.901,0.0,-0.296
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,0.099,0.901,0.0,-0.296
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,0.099,0.901,0.0,-0.296
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,0.099,0.901,0.0,-0.296
Brasil e Japão avançam em acordos e parceria --&gt;  https://t.co/uHzP3x1FKN  | #Notícias #Economia #Política #Agro #Brasil #Macaé #Esporte #Rural #RiodasOstras #Buzios #news #Campos #CaboFrio #Niterói #RJ #Rio #RioDeJaneiro #errejota #SãoPaulo #saopaulo #SP #CapitalLiberal #BR #... https://t.co/1luGRtpTob,0.0,1.0,0.0,0.0
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,0.099,0.901,0.0,-0.296
"RT @VoxLiberdade: 🚨 BOLSONARO: ""EM DOIS ANOS, NÃO ENCONTRARAM LÍDER""

Após se tornar réu por suposta tentativa de golpe, Bolsonaro afirmou:…",0.0,1.0,0.0,0.0
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,0.099,0.901,0.0,-0.296
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,0.099,0.901,0.0,-0.296
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,0.099,0.901,0.0,-0.296
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,0.099,0.901,0.0,-0.296
"RT @meiahora: STF remarca julgamento de denúncia contra núcleo golpista para 20 e 21 de maio. #STF #Julgamento #Política #MeiaHora
https://…",0.0,1.0,0.0,0.0
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,0.099,0.901,0.0,-0.296
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,0.099,0.901,0.0,-0.296
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,0.099,0.901,0.0,-0.296
"RT @MrHP: O Estado teve um saldo + de 0,7%. A carga fiscal subiu. No tempo do #PS, isto significava + impostos e - investimento. Com a #AD…",0.099,0.901,0.0,-0.296
"Daqui a pouco vai ter que segurar outra coisa 🍆... e dos presidiários ainda por cima, seu vagabundo #Bolsonaro #vagabundo #Politica https://t.co/mWrJuiTqJa",0.0,1.0,0.0,0.0
"Sem definição para 2026, Fraga se anima com ideia de concorrer ao Buriti novamente https://t.co/6gVROqFC3Q

#opiniaobrasilia #tenentepoliglota #poliglota #tenpoliglota #distritofederal #brasil #gdf #df #noticias #politica #economia #esportes #cidades #saúde #educação #ultimasno…",0.0,1.0,0.0,0.0
"STF remarca julgamento de denúncia contra núcleo golpista para 20 e 21 de maio. #STF #Julgamento #Política #MeiaHora
https://t.co/AWpVJ9Ul6Z",0.0,1.0,0.0,0.0
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,0.099,0.901,0.0,-0.296
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,0.099,0.901,0.0,-0.296
"RT @MrHP: O Estado teve um saldo + de 0,7%. A carga fiscal subiu. No tempo do #PS, isto significava + impostos e - investimento. Com a #AD…",0.099,0.901,0.0,-0.296
"RT @VoxLiberdade: 🚨 BOLSONARO: ""EM DOIS ANOS, NÃO ENCONTRARAM LÍDER""

Após se tornar réu por suposta tentativa de golpe, Bolsonaro afirmou:…",0.0,1.0,0.0,0.0
"RT @VoxLiberdade: 🚨 BOLSONARO: ""EM DOIS ANOS, NÃO ENCONTRARAM LÍDER""

Após se tornar réu por suposta tentativa de golpe, Bolsonaro afirmou:…",0.0,1.0,0.0,0.0
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,0.099,0.901,0.0,-0.296
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,0.099,0.901,0.0,-0.296
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,0.099,0.901,0.0,-0.296
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,0.099,0.901,0.0,-0.296
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,0.099,0.901,0.0,-0.296
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,0.099,0.901,0.0,-0.296
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,0.099,0.901,0.0,-0.296
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,0.099,0.901,0.0,-0.296
"RT @VoxLiberdade: 🚨 BOLSONARO: ""EM DOIS ANOS, NÃO ENCONTRARAM LÍDER""

Após se tornar réu por suposta tentativa de golpe, Bolsonaro afirmou:…",0.0,1.0,0.0,0.0
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,0.099,0.901,0.0,-0.296
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,0.099,0.901,0.0,-0.296
"RT @MrHP: O Estado teve um saldo + de 0,7%. A carga fiscal subiu. No tempo do #PS, isto significava + impostos e - investimento. Com a #AD…",0.099,0.901,0.0,-0.296
"RT @psd_parlamento: 🙏🏼🌹 Felizmente há no PS quem saiba olhar para a política com Nobreza e Decência. 

#portugal #política #parlamento #psd…",0.109,0.891,0.0,-0.296
RT @bibonunes1: Hoje é um dos dias mais vergonhosos para a justiça do Brasil. O processo kafkiano que Bolsonaro enfrenta no STF será lembra…,0.099,0.901,0.0,-0.296
